Model,F1_CV_Mean,F1_CV_Std,Recall_CV_Mean,Recall_CV_Std,Precision_CV_Mean,Precision_CV_Std,Accuracy_CV_Mean,Accuracy_CV_Std,F1_Single,Recall_Single,Precision_Single,Accuracy_Single,F1_Diff,Recall_Diff
LightGBM,0.9971540429545067,0.000626931623566566,0.9970682716991603,0.0011697472390518927,0.9972407955753185,0.0006163904271488444,0.9974669902316409,0.0005570495627341335,0.9975837072833966,0.9967808691653254,0.998387839705205,0.9978507829290758,0.0004296643288899116,0.0002874025338349684
CatBoost,0.9961748413308753,0.0004522577837110963,0.9955736719165568,0.0008643386979626194,0.9967773219693692,0.0004924717984182725,0.996597061832405,0.0004013956429542059,0.9962012202141131,0.9949413658312256,0.9974642692485016,0.9966226588885477,2.637888323775428e-05,0.000632306085331158
