threshold,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,mean_accuracy,mean_fn,mean_fp,mean_tn,mean_tp,mean_cost,std_cost,mean_fpr,mean_specificity,youden_index
0.47,0.9993677169513624,0.0004688214827130235,0.9994826099453865,0.0005268842420184961,0.9992529064314306,0.000466972157114535,0.9994370914819799,1.8,2.6,4335.0,3477.4,0.02336099810807849,0.023614439815934623,0.000599409811877536,0.9994005901881224,0.9988832001335091
0.48,0.9993677169513624,0.0004688214827130235,0.9994826099453865,0.0005268842420184961,0.9992529064314306,0.000466972157114535,0.9994370914819799,1.8,2.6,4335.0,3477.4,0.02336099810807849,0.023614439815934623,0.000599409811877536,0.9994005901881224,0.9988832001335091
0.49,0.9993389689277891,0.0004321407202708128,0.9994251221615407,0.000480977307579236,0.9992529064314306,0.000466972157114535,0.9994115062190913,2.0,2.6,4335.0,3477.2,0.025919524396936105,0.02154730932892914,0.000599409811877536,0.9994005901881224,0.9988257123496631
0.5,0.9993389689277891,0.0004321407202708128,0.9994251221615407,0.000480977307579236,0.9992529064314306,0.000466972157114535,0.9994115062190913,2.0,2.6,4335.0,3477.2,0.025919524396936105,0.02154730932892914,0.000599409811877536,0.9994005901881224,0.9988257123496631
0.51,0.9993389689277891,0.0004321407202708128,0.9994251221615407,0.000480977307579236,0.9992529064314306,0.000466972157114535,0.9994115062190913,2.0,2.6,4335.0,3477.2,0.025919524396936105,0.02154730932892914,0.000599409811877536,0.9994005901881224,0.9988257123496631
0.52,0.9993389689277891,0.0004321407202708128,0.9994251221615407,0.000480977307579236,0.9992529064314306,0.000466972157114535,0.9994115062190913,2.0,2.6,4335.0,3477.2,0.025919524396936105,0.02154730932892914,0.000599409811877536,0.9994005901881224,0.9988257123496631
0.53,0.9993676921673972,0.00043213962455068483,0.9994251221615407,0.000480977307579236,0.9993103446568423,0.0004669599864448445,0.9994370914819799,2.0,2.4,4335.2,3477.2,0.025893939134047528,0.021547311291808143,0.0005533013648100333,0.99944669863519,0.9988718207967306
0.54,0.9993389524130514,0.00042245565590483616,0.9993676508971729,0.00042246069977185335,0.9993102951837554,0.0004669781846396751,0.9994115062190913,2.2,2.4,4335.2,3477.0,0.028452465422905148,0.018971927156389203,0.0005533013648100333,0.99944669863519,0.9988143495323629
0.55,0.9993389524130514,0.00042245565590483616,0.9993676508971729,0.00042246069977185335,0.9993102951837554,0.0004669781846396751,0.9994115062190913,2.2,2.4,4335.2,3477.0,0.028452465422905148,0.018971927156389203,0.0005533013648100333,0.99944669863519,0.9988143495323629
0.56,0.9993389524130514,0.00042245565590483616,0.9993676508971729,0.00042246069977185335,0.9993102951837554,0.0004669781846396751,0.9994115062190913,2.2,2.4,4335.2,3477.0,0.028452465422905148,0.018971927156389203,0.0005533013648100333,0.99944669863519,0.9988143495323629
0.57,0.9993963741165999,0.0003792375332587965,0.9993676508971729,0.00042246069977185335,0.9994251221045605,0.0003636892526307936,0.9994626800183155,2.2,2.0,4335.6,3477.0,0.028401291623680845,0.018943841775203064,0.0004610844706750276,0.999538915529325,0.998906566426498
0.58,0.9993963741165999,0.0003792375332587965,0.9993676508971729,0.00042246069977185335,0.9994251221045605,0.0003636892526307936,0.9994626800183155,2.2,2.0,4335.6,3477.0,0.028401291623680845,0.018943841775203064,0.0004610844706750276,0.999538915529325,0.998906566426498
0.59,0.9993676261001468,0.0003704052096689214,0.999310179632805,0.0003899108681757393,0.9994250890845867,0.0003636892286334798,0.999437094755427,2.4,2.0,4335.6,3476.8,0.03095981791253847,0.017506919912867114,0.0004610844706750276,0.999538915529325,0.99884909516213
0.6,0.9993676261001468,0.0003704052096689214,0.999310179632805,0.0003899108681757393,0.9994250890845867,0.0003636892286334798,0.999437094755427,2.4,2.0,4335.6,3476.8,0.03095981791253847,0.017506919912867114,0.0004610844706750276,0.999538915529325,0.99884909516213
0.61,0.99933883674819,0.0004226007384476928,0.9992526918489592,0.0005011782542567165,0.9994250229306463,0.0003637938602560858,0.9994115062190913,2.6,2.0,4335.6,3476.6,0.03351867154611063,0.02245541306805004,0.0004610844706750276,0.999538915529325,0.9987916073782841
0.62,0.99931008045894,0.00039005223010972614,0.9991952040651132,0.00045991879469571426,0.9994250229306463,0.0003637938602560858,0.9993859209562027,2.8,2.0,4335.6,3476.4,0.036077197834968246,0.020600329274334285,0.0004610844706750276,0.999538915529325,0.9987341195944381
0.63,0.99931008045894,0.00039005223010972614,0.9991952040651132,0.00045991879469571426,0.9994250229306463,0.0003637938602560858,0.9993859209562027,2.8,2.0,4335.6,3476.4,0.036077197834968246,0.020600329274334285,0.0004610844706750276,0.999538915529325,0.9987341195944381
0.64,0.99931008045894,0.00039005223010972614,0.9991952040651132,0.00045991879469571426,0.9994250229306463,0.0003637938602560858,0.9993859209562027,2.8,2.0,4335.6,3476.4,0.036077197834968246,0.020600329274334285,0.0004610844706750276,0.999538915529325,0.9987341195944381
0.65,0.9993675269060821,0.00034750807416864183,0.9991952040651132,0.00045991879469571426,0.9995399653928205,0.00029331310049747505,0.999437094755427,2.8,1.6,4336.0,3476.4,0.03602602403574395,0.02056192538062959,0.00036886757654002215,0.99963113242346,0.9988263364885732
0.66,0.99933876234759,0.0003228416082254292,0.9991377162812674,0.0004453197898376413,0.9995399653928205,0.00029331310049747505,0.9994115094925384,3.0,1.6,4336.0,3476.2,0.03858455032460157,0.019888465971518707,0.00036886757654002215,0.99963113242346,0.9987688487047275
0.67,0.99933876234759,0.0003228416082254292,0.9991377162812674,0.0004453197898376413,0.9995399653928205,0.00029331310049747505,0.9994115094925384,3.0,1.6,4336.0,3476.2,0.03858455032460157,0.019888465971518707,0.00036886757654002215,0.99963113242346,0.9987688487047275
0.68,0.9993674855563024,0.0002667863661967102,0.9991377162812674,0.0004453197898376413,0.99959746967708,0.00023001751766694073,0.999437098028874,3.0,1.4,4336.2,3476.2,0.038558961788265844,0.01983885227986741,0.0003227591294725194,0.9996772408705275,0.9988149571517948
0.69,0.9993962170532742,0.0002789066739235953,0.9991377162812674,0.0004453197898376413,0.9996549409319483,0.0002151970794301493,0.9994626832917627,3.0,1.2,4336.4,3476.2,0.03853337652537727,0.019855313069441608,0.00027665068240501664,0.999723349317595,0.9988610655988623
