,Category,Accuracy,F1-Score,Recall,Precision,Overall_Score,Training_Time,F1_Rank,Recall_Rank,Overall_Rank
LightGBM,Advanced,0.9978507829290758,0.9975837072833966,0.9967808691653254,0.998387839705205,0.9974233985205299,15.310467720031738,1,2,1
XGBoost,Advanced,0.9974414082488998,0.99712279894119,0.996091055415038,0.9981566820276497,0.9969168781480213,3.7449865341186523,2,3,2
CatBoost,Advanced,0.9966226588885477,0.9962012202141131,0.9949413658312256,0.9974642692485016,0.9959498882678357,83.96056604385376,3,4,3
KNN,Baseline,0.9859789172039709,0.9842546833697277,0.9845941595769142,0.9839154411764706,0.9843226254139509,,4,5,4
Decision Tree,Baseline,0.9833179817828267,0.9812579050247212,0.9811450908254771,0.9813707451701932,0.9812353473741179,,5,6,5
Naive Bayes,Baseline,0.460955889878211,0.622842821339062,1.0,0.45226705490848584,0.7395905395173221,,7,1,6
Logistic Regression,Baseline,0.6910244601371405,0.6467766467766468,0.6355484019314785,0.6584087660790853,0.6446117726990673,,6,7,7
