Model,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Mean_Precision,Std_Precision,Mean_Accuracy,Std_Accuracy,Overfit_Gap_F1
LightGBM,0.9971540429545067,0.000626931623566566,0.9970682716991603,0.0011697472390518927,0.9972407955753185,0.0006163904271488444,0.9974669902316409,0.0005570495627341335,0.002845957045493286
CatBoost,0.9961748413308753,0.0004522577837110963,0.9955736719165568,0.0008643386979626194,0.9967773219693692,0.0004924717984182725,0.996597061832405,0.0004013956429542059,0.0038251586691246953
