iter	Passed	Remaining
406	47925	69827
407	48031	69693
408	48137	69558
409	48247	69428
410	48362	69308
411	48482	69193
412	48604	69081
413	48714	68953
414	48823	68822
415	48928	68687
416	49040	68562
417	49151	68436
418	49255	68299
419	49370	68177
420	49508	68088
421	49620	67963
422	49734	67841
423	49864	67740
424	49975	67613
425	50092	67496
426	50203	67369
427	50315	67244
428	50427	67119
429	50539	66993
430	50630	66841
431	50736	66708
432	50841	66575
433	50950	66446
434	51059	66318
435	51169	66192
436	51278	66063
437	51379	65925
438	51484	65792
439	51607	65682
440	51729	65570
441	51838	65443
442	51950	65319
443	52057	65188
444	52171	65067
445	52279	64939
446	52387	64810
447	52491	64677
448	52600	64549
449	52696	64407
450	52794	64266
451	52897	64132
452	53007	64007
453	53113	63876
454	53213	63739
455	53321	63611
456	53431	63485
457	53547	63368
458	53653	63238
459	53760	63110
460	53865	62979
461	53972	62851
462	54078	62722
463	54188	62597
464	54296	62470
465	54402	62340
466	54507	62210
467	54624	62094
468	54733	61969
469	54837	61837
470	54943	61708
471	55050	61582
472	55164	61461
473	55285	61350
474	55392	61223
475	55507	61104
476	55612	60975
477	55730	60860
478	55841	60738
479	55945	60607
480	56053	60482
481	56160	60355
482	56272	60233
483	56387	60115
484	56496	59991
485	56602	59863
486	56714	59742
487	56823	59618
488	56936	59498
489	57040	59368
490	57145	59240
491	57252	59114
492	57361	58990
493	57469	58865
494	57575	58738
495	57685	58615
496	57788	58486
497	57896	58361
498	57999	58231
499	58101	58101
500	58207	57975
501	58309	57845
502	58418	57721
503	58523	57594
504	58641	57480
505	58756	57363
506	58866	57240
507	58978	57121
508	59081	56991
509	59189	56868
510	59298	56745
511	59407	56622
512	59513	56497
513	59618	56370
514	59721	56242
515	59828	56118
516	59930	55989
517	60037	55865
518	60137	55734
519	60244	55609
520	60349	55484
521	60450	55354
522	60557	55231
523	60666	55109
524	60776	54988
525	60885	54866
526	60993	54743
527	61098	54618
528	61202	54492
529	61307	54367
530	61426	54254
531	61531	54129
532	61644	54011
533	61753	53889
534	61862	53768
535	62001	53673
536	62178	53610
537	62293	53494
538	62410	53378
539	62537	53272
540	62646	53151
541	62755	53029
542	62869	52912
543	62997	52806
544	63112	52689
545	63222	52569
546	63328	52445
547	63435	52322
548	63541	52199
549	63650	52077
550	63759	51956
551	63876	51841
552	63987	51721
553	64096	51600
554	64218	51490
555	64322	51365
556	64429	51243
557	64539	51122
558	64653	51005
559	64756	50880
560	64858	50753
561	64965	50631
562	65068	50505
563	65171	50380
564	65307	50280
565	65414	50158
566	65533	50045
567	65646	49928
568	65752	49805
569	65877	49696
570	65976	49568
571	66083	49447
572	66190	49325
573	66355	49246
574	66463	49125
575	66567	49000
576	66674	48879
577	66805	48774
578	66925	48662
579	67057	48558
580	67171	48441
581	67274	48317
582	67382	48196
583	67493	48077
584	67603	47958
585	67722	47844
586	67825	47720
587	67938	47603
588	68049	47484
589	68158	47364
590	68266	47243
591	68391	47134
592	68500	47014
593	68616	46899
594	68739	46789
595	68880	46690
596	69030	46598
597	69158	46491
598	69297	46391
599	69457	46304
600	69597	46205
601	69706	46084
602	69821	45968
603	603	69911	45604	604	70031	45605	605	70154	45606	70298	45514
607	70416	45400
608	608	70523	45609	609	70645	45610	610	70762	45611	611	70879	44612	612	70999	44613	71140	44723
614	71263	44612
615	71370	44490
616	71475	44368
617	71590	44251
618	618	71679	44619	71832	44026
620	71970	43923
621	72081	43805
622	72191	43685
623	72322	43578
624	72433	43460
625	72539	43338
626	72661	43225
627	72768	43104
628	72884	42989
629	72997	42871
630	73104	42750
631	73224	42636
632	73345	42524
633	73457	42405
634	73569	42288
635	73682	42170
636	73797	42054
637	73902	41932
638	74017	41815
639	74125	41695
640	74230	41573
641	641	74317	41642	642	74429	41643	643	74545	41644	644	74678	41645	645	74806	40646	646	75004	40647	647	75121	40648	648	75238	40649	649	75367	40650	650	75486	40651	75636	40370
652	75762	40259
653	75898	40154
654	76023	40043
655	76149	39931
656	76267	39816
657	76378	39698
